#{"t_start": 1632856045.5472655, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.02252,2,2.934024
0.007006,2,3.022078
-0.065433,1,3.064765
-0.0394,2,3.139311
-0.029287,2,3.227807
0.0139,3,3.354927
0.024339,4,3.512454
0.054045,3,3.640207
-0.047502,1,3.675374
-0.001504,3,3.794017
0.006309,3,3.925736
-0.058527,3,4.044567
-0.005773,4,4.212819
0.008218,1,4.253131
0.047743,6,4.496525
-0.012705,10,4.915727
-0.213645,1,4.959211
-0.000663,1,5.010459
-0.000802,2,5.098363
-0.018924,3,5.227249
-0.008729,2,5.311728
-0.193956,2,5.397411
0.002244,3,5.523295
0.075297,2,5.605868
0.013004,6,5.850133
0.035026,2,5.940985
-0.017697,3,6.055692
0.054174,4,6.245731
0.024314,3,6.365648
-0.022627,3,6.478502
-0.07414,1,6.528146
-0.024544,3,6.652667
-0.062771,4,6.813514
-0.004438,2,6.893767
-0.022188,2,6.981267
-0.027153,5,7.180262
0.008051,4,7.342098
-0.016928,1,7.385649
-0.112548,3,7.506773
-0.034469,2,7.596462
-0.014431,3,7.712873
-0.004963,2,7.80305
0.083364,1,7.842778
-0.001755,1,7.877662
-0.020554,1,7.934183
-0.087906,3,8.05751
-0.098541,2,8.139152
0.023501,2,8.218209
-0.002314,2,8.296954
0.033501,1,8.336149
0.017582,3,8.454036
0.007437,4,8.62564
0.000298,4,8.787283
0.012941,2,8.87186
-0.023654,1,8.915641
-0.010657,3,9.043971
0.030689,1,9.091589
-0.161585,2,9.170098
0.020686,2,9.252365
-0.00829,2,9.341137
-0.007394,2,9.416685
0.071436,4,9.581754
0.014204,2,9.657443
-0.164916,1,9.701968
-0.049603,5,9.907887
0.020687,4,10.066951
-0.035901,3,10.181289
0.013591,7,10.445177
-0.071652,5,10.646528
0.014443,2,10.739775
-0.081302,2,10.822425
0.07942,4,10.981112
0.033601,2,11.058303
-0.050875,2,11.146552
-0.047721,5,11.334352
0.036505,1,11.378231
0.013258,4,11.550515
-0.023831,2,11.625122
0.008083,2,11.706048
0.018599,1,11.748888
0.101826,2,11.827464
