#{"t_start": 1632853567.3349628, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.052209,2,2.618274
0.018078,1,2.660872
0.002104,1,2.70176
0.022171,2,2.763175
-0.058461,3,2.845945
-0.002462,2,2.906022
0.019269,3,2.995366
0.010955,3,3.083695
0.081299,1,3.109752
0.028283,2,3.16599
0.034933,1,3.196921
0.047591,2,3.268763
-0.01076,2,3.313679
0.038191,5,3.452926
0.062026,3,3.544837
0.096422,3,3.632768
0.051122,5,3.793798
0.088769,2,3.850001
-0.012188,2,3.914114
0.014862,3,4.005723
-0.009705,3,4.101777
-0.082734,2,4.164694
-0.022372,3,4.255745
0.012165,4,4.360898
0.017109,4,4.467813
0.028528,3,4.558805
0.04356,3,4.639846
0.019474,2,4.707755
0.046741,3,4.80658
0.002497,3,4.883319
-0.050997,4,5.007096
0.045098,3,5.094496
-0.085758,5,5.239211
-0.016817,1,5.270319
0.070273,4,5.380648
-0.004507,2,5.440449
0.00128,6,5.603491
0.020295,4,5.727213
0.027637,5,5.873543
-0.011405,4,5.992174
0.011541,5,6.131658
0.022743,1,6.161745
0.053764,4,6.278279
0.00725,5,6.416083
-0.012646,2,6.470143
0.017502,3,6.547523
-0.007066,1,6.577204
-0.00788,3,6.669336
-0.045877,2,6.729574
0.063619,3,6.820571
0.032287,2,6.876768
0.025461,2,6.932296
0.030926,2,6.997333
0.02223,1,7.022737
0.013756,5,7.168133
-0.04084,2,7.226233
-0.03744,2,7.287343
0.014125,3,7.369962
-0.01208,1,7.411631
0.044016,3,7.492316
-0.007652,5,7.637522
0.020625,3,7.725471
0.004802,4,7.854765
0.02524,5,8.005349
-0.069486,3,8.089779
-0.03413,7,8.288369
0.017903,3,8.373368
0.016825,1,8.397632
-0.009939,3,8.509644
0.000801,6,8.669972
0.013309,2,8.726941
0.018787,2,8.792504
-0.006601,2,8.860737
-0.118183,3,8.962212
0.040953,2,9.01989
0.013076,5,9.150441
0.073582,2,9.205971
0.025583,3,9.29654
-0.02644,1,9.321157
-0.02097,5,9.463658
0.025862,3,9.552172
0.034851,1,9.586884
0.013476,2,9.652489
0.000408,1,9.679493
-0.118916,3,9.765889
0.056507,6,9.939556
0.005136,4,10.059637
0.021465,7,10.242526
-0.044381,1,10.272498
0.028408,4,10.38679
0.032741,2,10.447112
-0.039399,1,10.476359
-0.051366,1,10.501601
0.019483,4,10.609553
0.020089,2,10.673479
-0.026412,3,10.757484
0.061873,3,10.837207
-0.06686,4,10.943853
0.035715,2,11.002282
0.07285,1,11.031688
-0.045087,4,11.147999
-0.01096,3,11.236436
-0.001807,4,11.353783
0.000488,3,11.448058
0.022481,7,11.632266
-0.026908,2,11.698771
0.006502,2,11.757082
-0.027222,3,11.846917
-0.004127,9,12.098431
0.052318,3,12.186909
0.055049,2,12.24625
0.043693,3,12.343818
-0.117308,4,12.459298
0.026758,5,12.592883
0.025579,2,12.650387
-0.10153,2,12.709714
-0.015781,3,12.798143
0.001058,1,12.83396
-0.032741,2,12.885922
-0.034476,2,12.93722
-0.021949,4,13.048833
-0.008043,2,13.098606
0.080401,2,13.152202
-0.008166,4,13.260059
0.014448,3,13.32814
0.096805,5,13.468014
-0.099249,2,13.530385
-0.019663,2,13.590415
0.025967,4,13.700103
-0.109847,2,13.758332
-0.028151,1,13.788402
0.031712,2,13.837562
-0.067717,3,13.916715
0.008118,1,13.951058
0.048933,1,13.976288
0.013343,3,14.060122
-0.301872,2,14.125082
0.050534,4,14.25678
-0.036201,2,14.316009
0.094583,7,14.512839
0.019334,1,14.552978
0.021152,5,14.706551
-0.04484,3,14.790441
0.044035,2,14.84959
0.040065,8,15.072655
-0.060945,2,15.128845
0.013464,3,15.213166
0.083584,2,15.267756
0.003037,2,15.322474
0.08795,3,15.409932
0.040501,5,15.542881
0.010753,3,15.62922
-0.011912,4,15.746188
-0.037252,3,15.834558
0.005798,1,15.864639
0.084259,2,15.933673
-0.02088,3,16.013701
0.02107,3,16.10419
0.008683,4,16.217154
0.015131,5,16.370472
-0.103018,2,16.429978
0.087627,2,16.489744
0.016235,3,16.561716
-0.013105,1,16.585625
0.049524,3,16.669699
0.016311,2,16.729088
0.095178,1,16.758929
0.05946,2,16.822503
0.060693,1,16.851732
0.008907,5,16.993548
0.007841,1,17.018337
-0.021752,10,17.308407
0.038888,2,17.372032
0.033245,4,17.471646
0.003245,1,17.5017
0.03017,4,17.608553
0.032926,5,17.755373
-0.021559,4,17.862515
0.121891,1,17.896907
-0.05176,2,17.951599
0.039914,2,18.016382
-0.038531,1,18.046384
0.12076,2,18.106141
-0.123197,5,18.249021
-0.000267,2,18.308707
0.011562,1,18.331917
0.010166,3,18.411825
0.026065,2,18.470811
-0.027839,2,18.526394
0.025177,4,18.639075
-0.001908,2,18.69745
0.025468,5,18.834303
0.066851,3,18.915906
0.062793,2,18.970653
0.015938,2,19.035533
0.018756,2,19.095317
-0.066163,6,19.257631
-0.031943,3,19.336564
-0.096544,3,19.409214
0.067187,2,19.463124
-0.006726,3,19.544531
0.025337,4,19.658204
0.148624,6,19.805157
-0.021692,2,19.879544
0.012117,2,19.928741
0.036751,1,19.958087
1.2e-05,2,20.013321
-0.098982,2,20.07737
-0.033198,2,20.137088
-0.005931,3,20.221662
0.07393,5,20.359485
-0.005639,6,20.51193
0.028781,3,20.605256
0.068392,1,20.640235
0.009693,1,20.674071
0.044372,1,20.709112
-0.009709,4,20.818149
-0.013324,5,20.96118
-0.022839,6,21.122172
0.00559,3,21.204827
0.078135,1,21.233989
-0.063339,4,21.342953
0.130055,1,21.377396
0.103996,1,21.411679
-0.046793,2,21.475309
0.079819,2,21.524495
0.009382,4,21.645678
0.027834,1,21.6742
0.027396,3,21.766218
-0.093881,3,21.845885
-0.061315,1,21.87976
0.034152,1,21.904517
0.060406,3,21.990285
-0.015307,5,22.139519
-0.008751,4,22.24858
0.020015,5,22.385079
-0.007594,3,22.462982
0.012895,4,22.569965
0.031248,8,22.805293
0.029745,4,22.917439
0.05762,4,23.035587
-0.019915,7,23.221719
-0.08641,2,23.271629
0.022409,2,23.324149
0.010284,3,23.40135
0.048157,4,23.509915
-0.010429,2,23.569788
0.047499,2,23.634238
0.004474,3,23.716715
-0.046179,3,23.799877
0.038667,3,23.877578
-0.003152,3,23.951783
0.002567,5,24.110732
-0.022394,4,24.207543
0.005628,1,24.232764
-0.007977,2,24.295179
-0.033833,2,24.353176
0.031607,8,24.563114
0.009466,3,24.637591
0.037478,4,24.753846
-0.026638,2,24.821991
-0.045666,4,24.918707
-0.011123,3,25.007691
0.02585,3,25.089957
0.037154,2,25.147719
-0.072526,3,25.227323
-0.064877,3,25.310347
0.001175,2,25.358097
-0.026668,4,25.47953
0.116776,2,25.544195
-0.113038,2,25.604094
0.015278,1,25.637947
0.073326,4,25.745448
-0.032111,1,25.775428
-0.029396,4,25.889487
0.002379,3,25.983071
0.000409,2,26.032528
-0.006141,6,26.204454
-0.03027,2,26.261998
0.047606,1,26.285795
0.011384,4,26.393337
0.013652,3,26.495661
0.01572,3,26.584589
0.001993,2,26.64282
-0.007874,3,26.736231
-0.003501,3,26.830924
-0.057699,2,26.890089
0.003246,3,26.978198
-0.001296,4,27.088238
0.002111,6,27.258588
0.02882,1,27.288448
0.036115,5,27.424727
-0.02711,2,27.489177
0.07108,4,27.594143
-0.001226,1,27.621106
-0.006259,5,27.752118
0.036297,1,27.782246
0.029944,2,27.837385
-0.011946,3,27.915991
-0.023564,5,28.053442
-0.017567,4,28.162202
-0.002154,3,28.250979
0.002126,3,28.338344
0.039013,2,28.393281
-0.010979,4,28.507168
-0.020052,2,28.561147
0.008846,3,28.648068
0.004916,1,28.675953
0.023645,1,28.710192
0.007139,2,28.759157
0.047081,7,28.949863
0.037925,5,29.07746
0.028237,4,29.197433
0.062739,2,29.256207
0.004967,5,29.402142
0.071596,1,29.441132
0.035531,2,29.486403
-0.035462,1,29.532347
0.041374,2,29.58703
-0.055794,3,29.661916
-0.020004,2,29.71619
0.131591,6,29.87684
-0.101069,5,30.013787
-0.070454,6,30.18815
0.004446,3,30.27226
0.004447,1,30.306823
-0.018153,3,30.390142
0.037456,4,30.504251
-0.01933,2,30.568063
0.00146,1,30.607218
0.025162,2,30.663578
-0.040086,4,30.767999
0.050878,5,30.904396
0.070668,1,30.933602
0.004407,2,30.992789
-0.031568,2,31.051702
0.138102,1,31.08105
-0.000804,3,31.181083
-0.01665,3,31.264361
0.006662,2,31.319069
-0.029082,2,31.378482
-0.12627,3,31.472886
0.018976,5,31.620316
0.000878,2,31.691397
0.013873,4,31.801855
0.010895,7,32.006782
0.033519,1,32.037865
0.009622,8,32.243891
-0.031583,4,32.350941
0.004568,9,32.603886
0.000558,4,32.712056
0.00971,2,32.776586
0.054755,1,32.811044
0.036756,2,32.875753
-0.123009,2,32.929532
-0.049063,2,32.99378
0.052378,2,33.061498
-0.050266,5,33.208445
-0.053323,2,33.266969
-0.121415,1,33.291485
0.028214,10,33.557853
0.046498,2,33.620402
-0.067741,3,33.7251
-0.022205,3,33.827044
-0.024596,4,33.949773
0.020798,3,34.036195
0.029305,1,34.086884
0.032251,3,34.171263
0.014595,2,34.222034
0.035734,2,34.275417
0.026943,8,34.522942
-0.169085,2,34.57134
0.012602,2,34.630996
-0.024494,2,34.69313
0.011472,7,34.89522
0.00265,2,34.959367
0.019222,4,35.072922
-0.004592,2,35.169417
0.047362,5,35.322479
0.063201,6,35.485598
0.010696,2,35.553462
-0.028965,2,35.613104
-0.052573,2,35.679577
0.006811,2,35.755288
-0.009413,6,35.932675
0.035734,2,35.992976
-0.083943,2,36.044708
-0.003111,9,36.283004
0.009859,7,36.474149
0.035069,7,36.658181
0.026666,3,36.742772
-0.007412,3,36.830032
-0.089402,2,36.894099
-0.042702,4,37.013515
-0.198645,1,37.048674
0.022079,2,37.097601
0.080976,4,37.214734
-0.049515,5,37.353023
0.007852,2,37.417847
0.02437,3,37.495287
-0.030581,2,37.554556
0.013074,7,37.752959
-0.066475,4,37.872429
-0.020185,5,38.007358
0.00336,3,38.096022
0.010298,3,38.179916
-0.008122,2,38.248626
0.010902,5,38.377673
-0.051099,3,38.450737
-0.077043,1,38.480981
0.010251,2,38.536979
-0.005322,5,38.653393
0.132444,3,38.742607
0.012528,4,38.852832
-0.03024,4,38.975747
0.022526,3,39.042928
0.072177,1,39.071546
0.015321,2,39.130624
0.086309,2,39.190205
-0.008627,1,39.215132
0.051957,2,39.284806
0.026438,4,39.391316
-0.070899,2,39.44952
-0.050685,2,39.513689
-0.052595,2,39.572551
0.010078,2,39.622443
-0.012191,2,39.686454
-0.04063,2,39.741462
0.000775,5,39.890826
0.005642,3,39.979389
0.072689,2,40.03312
0.016866,4,40.15595
0.022925,2,40.216756
-0.019932,4,40.317333
-0.033451,5,40.446671
0.03397,2,40.505634
0.022745,2,40.565475
0.022517,4,40.682166
0.004722,3,40.76117
0.004109,1,40.789476
0.036686,1,40.819072
0.029181,1,40.843667
-0.000253,3,40.933073
0.071651,4,41.061604
0.03525,4,41.172891
-0.055109,2,41.232074
-0.065023,2,41.291282
0.018436,4,41.399128
0.022964,5,41.53594
0.008873,5,41.671702
-0.105186,4,41.787306
0.02318,3,41.872263
0.022561,3,41.954413
0.013409,3,42.040668
-0.019567,1,42.074801
-0.008653,4,42.184676
0.084569,4,42.293132
-0.000783,2,42.362229
0.021212,1,42.401052
0.019037,2,42.454281
-0.018754,3,42.534907
-0.080848,3,42.62481
0.03584,2,42.693754
0.009266,1,42.723918
0.058952,2,42.77415
-0.004782,2,42.83821
0.000833,2,42.901838
0.085967,3,42.97956
0.0514,2,43.033518
0.002956,1,43.067722
0.048132,2,43.116549
-0.003389,6,43.271827
0.033551,5,43.413803
-0.012703,2,43.469137
-0.094049,2,43.537486
-0.010677,4,43.637729
-0.109528,3,43.713316
0.038082,4,43.82879
-0.0037,4,43.934219
0.050313,4,44.054201
-0.042296,3,44.140095
0.001292,2,44.199013
-0.019171,2,44.253921
-0.002429,4,44.352519
0.013786,5,44.492712
0.065252,3,44.5926
-0.061023,5,44.735838
0.029928,4,44.850255
0.004547,2,44.911053
-0.007483,2,44.966713
-0.015555,1,45.006117
-0.01358,2,45.051739
0.035354,2,45.107071
-0.028166,1,45.147207
-0.019471,1,45.18259
0.006933,2,45.226107
0.050369,2,45.290295
-0.038494,3,45.377184
0.12534,4,45.493603
0.010478,5,45.643457
-0.032969,8,45.866197
0.045568,2,45.930568
-0.061585,3,46.021962
0.134039,3,46.105509
0.027186,3,46.190804
0.001597,4,46.311717
-0.07541,2,46.365747
-0.10254,3,46.44454
-0.024123,1,46.479312
-0.038433,1,46.504049
0.017821,4,46.622705
0.005118,3,46.710955
0.016399,3,46.795091
-0.143602,3,46.884308
-0.009945,2,46.953472
-0.050228,4,47.056194
0.019814,1,47.096081
0.079308,2,47.15088
0.035104,4,47.265921
-0.006727,3,47.339289
0.045431,3,47.424363
-0.055336,5,47.554541
-0.081355,3,47.639754
0.053695,1,47.668403
0.014034,2,47.73878
-0.078045,4,47.855344
-0.019243,2,47.924302
-0.027984,2,47.983732
-0.014307,3,48.073581
0.052603,2,48.128534
0.008788,3,48.217724
-0.010048,1,48.242386
-0.116579,1,48.276493
0.037264,2,48.330324
-0.09386,4,48.458944
0.033076,6,48.637912
0.060029,1,48.667132
-0.004923,5,48.803158
0.009817,1,48.832352
0.023158,1,48.857268
0.081494,3,48.940169
-0.076295,2,48.999543
0.03531,3,49.079179
0.019354,2,49.143304
0.022587,3,49.222596
-0.080188,3,49.301036
0.090395,5,49.45456
-0.201013,1,49.488243
0.05774,3,49.574519
0.057823,1,49.60315
0.019494,1,49.633609
-0.018973,2,49.691727
0.011561,1,49.726701
0.021436,2,49.785493
0.081342,2,49.850115
-0.035979,6,50.017819
-0.040852,4,50.137657
0.01223,4,50.242399
-0.002889,5,50.386708
0.010842,2,50.440739
0.066527,1,50.479957
0.012013,2,50.530492
0.033516,3,50.613327
-0.001744,2,50.673455
0.089431,1,50.70288
0.003562,3,50.786831
-0.014279,2,50.845016
0.057601,2,50.905052
-0.017637,2,50.969812
0.08611,4,51.084972
0.039453,5,51.205586
-0.004213,1,51.234874
0.016955,2,51.303338
0.029068,2,51.358438
-0.013995,2,51.413555
0.025268,2,51.463417
0.149847,2,51.528177
0.026807,3,51.616954
0.026368,2,51.676164
0.057595,1,51.707134
0.005344,2,51.769377
0.039706,2,51.838359
0.080867,4,51.947742
-0.023996,5,52.08574
0.004161,1,52.1202
-0.013131,5,52.267504
-0.118771,1,52.297322
0.02248,2,52.356493
0.13809,3,52.446389
0.014952,1,52.481102
0.089278,5,52.607968
-0.109913,2,52.677022
-0.028882,6,52.834047
0.037511,3,52.927453
-0.061079,1,52.962073
-0.12082,3,53.056595
0.002719,4,53.153792
0.053158,1,53.19747
0.044143,2,53.246186
0.009869,5,53.374746
-0.129781,3,53.46333
0.041174,2,53.520786
0.092865,4,53.624578
-0.015529,2,53.692805
0.044664,4,53.805464
-0.012366,9,54.054869
0.034344,3,54.131666
-0.004198,2,54.204579
0.014991,2,54.26854
0.015698,5,54.389798
0.034065,5,54.532347
0.011503,3,54.616404
-0.045209,4,54.727124
-0.004497,2,54.785487
0.100325,4,54.88827
0.033156,2,54.95229
-0.00876,1,54.977563
-0.094096,2,55.026144
-0.29021,3,55.103899
0.123329,1,55.143062
0.203521,2,55.206846
-0.013304,3,55.289342
-0.056762,1,55.31835
-0.073036,4,55.427179
0.041742,2,55.48024
0.027045,4,55.593503
0.033391,4,55.72136
-0.024523,3,55.809701
0.016292,3,55.884901
0.004466,6,56.043761
0.033251,5,56.189618
0.018678,2,56.253335
0.011228,3,56.327293
-0.094413,5,56.465706
0.011656,3,56.553012
0.00878,1,56.587285
0.016969,3,56.670012
-0.048152,3,56.748137
-0.013053,3,56.826065
-0.000234,1,56.854486
-0.000189,6,57.03036
0.020646,3,57.118556
-0.035247,2,57.178473
-0.084101,1,57.208237
-0.000469,1,57.24669
0.107535,1,57.275245
0.044324,2,57.329559
0.044199,1,57.352745
0.02604,1,57.381138
0.026405,4,57.494385
-0.049473,6,57.661391
-0.051358,3,57.744199
0.074574,3,57.836533
0.067661,2,57.890361
0.036053,3,57.981759
-0.006003,1,58.00706
-0.138784,4,58.116559
-0.010036,5,58.265839
-0.04293,3,58.347071
0.042665,2,58.407453
0.043634,2,58.463849
0.01508,3,58.552409
-0.080789,4,58.661513
0.006137,3,58.755166
-0.131202,2,58.825289
0.038262,4,58.946947
-0.152641,3,59.028897
-0.042153,4,59.157348
-0.073316,8,59.37605
0.022068,3,59.457109
-0.090643,3,59.547426
0.02925,1,59.591403
-0.010404,5,59.749796
0.012749,3,59.842902
0.039784,1,59.884156
-0.044487,2,59.954527
-0.075041,1,59.987472
0.016386,4,60.11548
-0.022567,5,60.259938
-0.003311,4,60.390625
0.041889,4,60.525323
0.007256,4,60.658744
-0.041239,4,60.780327
0.051337,2,60.834915
-0.013479,1,60.870897
-0.038367,3,60.95968
-0.238091,3,61.062459
0.051675,2,61.121421
0.060328,2,61.175236
0.02255,1,61.20595
0.146045,2,61.262978
0.029897,3,61.357636
-0.039133,2,61.423546
0.081836,2,61.487042
0.071506,3,61.57266
0.04235,2,61.632773
0.036611,1,61.673178
0.186015,2,61.732294
0.098741,3,61.833078
0.032571,5,61.976657
0.031037,5,62.128752
0.01265,3,62.212692
-0.134269,4,62.318358
-0.054115,1,62.352243
0.025837,3,62.432151
0.073155,2,62.492264
-0.003205,3,62.57675
0.099411,2,62.625816
-0.1179,4,62.736922
-0.039424,3,62.825735
0.005299,1,62.855218
0.098081,2,62.908991
-0.001355,3,63.00337
-0.001416,7,63.200506
0.016629,2,63.267538
0.147276,4,63.381071
0.16382,3,63.48947
0.015687,4,63.627842
0.011505,4,63.753834
0.01163,6,63.975204
0.050852,3,64.057348
-0.144992,3,64.156827
-0.267134,4,64.299247
-0.173826,2,64.349375
-0.004842,4,64.461615
0.009256,1,64.486265
-0.055928,4,64.601633
-0.013609,3,64.684184
-0.005193,3,64.77472
0.015716,2,64.845344
0.153285,6,64.999082
0.004904,5,65.139568
-0.074192,1,65.174232
-0.039924,5,65.309692
0.041276,3,65.398834
-0.070518,3,65.486116
-0.026453,2,65.549752
7.5e-05,7,65.735801
0.037079,3,65.825119
0.000659,3,65.911191
-0.023365,2,65.985417
-0.079119,2,66.054074
0.009513,4,66.164452
0.056004,2,66.228676
-0.080895,2,66.28391
0.034558,2,66.34264
0.021163,1,66.371256
0.04284,2,66.425319
-0.031341,5,66.577193
-0.026273,2,66.635844
0.011521,4,66.744961
0.019918,1,66.774212
0.030437,3,66.86192
0.002674,10,67.134568
0.01401,3,67.224984
-0.007492,2,67.278941
0.013806,2,67.328219
0.071989,3,67.407072
0.04231,1,67.446435
0.055364,4,67.551902
-0.01945,3,67.631821
0.014302,4,67.750871
0.035513,2,67.83905
0.124205,2,67.913862
0.028921,7,68.11679
-0.037166,2,68.177098
-0.065675,2,68.233211
0.049357,1,68.270396
0.037218,4,68.382187
0.051722,2,68.448612
0.050708,2,68.49903
0.043529,6,68.669643
0.086884,4,68.779485
-0.068184,2,68.839175
0.018703,1,68.883874
0.015352,4,69.003188
-0.01392,2,69.061845
-0.07656,4,69.169988
-0.007352,2,69.22393
0.040163,2,69.283043
-0.006349,5,69.432367
0.070507,1,69.467141
0.018368,4,69.585591
0.000421,3,69.673593
-0.081713,2,69.737657
0.011128,2,69.802536
-0.004287,1,69.835854
0.010685,2,69.886271
0.036615,1,69.920982
0.014762,5,70.054552
0.019409,1,70.083742
0.03376,2,70.143407
-0.022696,2,70.197448
-0.027658,2,70.256461
-0.012825,4,70.355789
0.036157,2,70.404008
0.00586,3,70.481361
-0.005189,2,70.549464
-0.04142,3,70.628241
-0.005469,5,70.777895
-0.007716,4,70.893315
0.01585,3,70.978791
-0.036279,2,71.032951
0.040199,2,71.091766
0.045885,1,71.126639
0.008728,5,71.259351
0.017226,3,71.33854
0.01519,3,71.41882
-0.020872,2,71.478877
0.016452,1,71.517416
-0.013517,1,71.5798
0.053603,1,71.611029
-0.02128,6,71.786273
0.048223,3,71.882761
-0.036293,3,71.97042
0.027187,2,72.027498
-0.038705,6,72.210586
-0.003757,5,72.342975
0.092893,4,72.457187
-0.042174,1,72.495483
-0.042538,2,72.55504
0.004536,3,72.639877
-0.058691,4,72.741554
-0.106423,3,72.819324
-0.178333,2,72.869486
-0.043461,1,72.909232
-0.002617,2,72.964892
-0.000463,2,73.024891
0.053863,2,73.076235
0.07342,3,73.160662
0.042895,2,73.219846
0.161822,2,73.278492
-0.039589,2,73.340346
-0.066144,2,73.417686
0.035291,1,73.488551
-0.096057,2,73.568701
0.013691,1,73.597018
0.003193,6,73.759237
-0.013267,3,73.841654
0.044012,3,73.93006
0.054778,3,74.008455
0.020725,2,74.063048
0.047851,4,74.173087
-0.012647,1,74.202453
-0.03191,1,74.237018
0.075788,2,74.298886
-0.002353,5,74.475714
0.003926,2,74.535032
-0.069514,3,74.619364
0.052815,6,74.798154
0.021048,1,74.832611
-0.0052,3,74.923421
-0.010397,2,74.987694
-0.011867,6,75.147284
-0.024721,1,75.18187
0.00555,2,75.241085
2.2e-05,3,75.315372
0.02541,2,75.374637
-0.067472,3,75.46226
-0.045353,2,75.511314
-0.195194,3,75.607787
-0.017655,1,75.646989
0.038828,3,75.725626
0.019925,7,75.9173
0.03339,2,75.975758
0.025819,3,76.052983
0.012073,4,76.168425
-0.002613,3,76.253007
-0.050079,4,76.359342
0.012488,2,76.419411
-0.121902,1,76.453084
0.015761,3,76.537697
-0.002591,2,76.589953
-0.023254,3,76.676706
0.115778,5,76.813553
0.011914,2,76.881595
-0.039761,3,76.960755
0.019932,2,77.018947
-0.045995,1,77.04715
0.030852,3,77.13679
0.044072,4,77.249715
-0.049956,3,77.333278
0.002935,2,77.392487
0.045625,5,77.523993
-0.050496,5,77.679779
0.039601,2,77.743014
0.035937,1,77.772296
-0.007676,3,77.846256
0.067943,1,77.87613
0.008221,3,77.958638
0.030867,8,78.16102
0.001899,3,78.253773
0.011374,7,78.443038
-0.011875,3,78.531446
0.010599,2,78.593846
-0.038596,2,78.652873
0.035718,3,78.741774
-0.004738,4,78.85028
0.04072,2,78.914092
-0.012817,3,79.00572
0.052729,2,79.070378
-0.020164,9,79.304739
-0.070325,1,79.334507
0.015779,2,79.39191
-0.062725,6,79.563311
-0.090251,2,79.626051
-0.022648,1,79.656129
-0.104729,5,79.788156
-0.067468,2,79.847314
-0.001138,4,79.946689
0.115341,5,80.087469
-0.003502,1,80.117808
0.053202,3,80.201067
-0.014288,5,80.337065
0.066979,2,80.381044
-0.190206,2,80.450549
0.009232,2,80.516307
-0.007907,1,80.550712
-0.041675,2,80.610358
-0.041347,1,80.641488
0.011155,4,80.760709
-0.056151,3,80.839497
0.001077,3,80.952342
-0.007859,2,81.016031
0.059196,4,81.115677
-0.010355,3,81.208971
0.047617,2,81.268736
0.059953,5,81.429517
-0.016977,3,81.502892
0.005101,3,81.595117
-0.00189,5,81.741982
-0.086285,1,81.771804
-0.06948,5,81.915671
-0.045364,1,81.945769
0.057807,1,81.977797
0.022406,2,82.036387
0.048343,6,82.208279
0.023573,5,82.35251
0.035456,4,82.504289
0.030139,4,82.656324
0.027799,2,82.712637
0.002251,2,82.765827
0.040649,6,82.976955
0.052305,2,83.036699
0.094565,3,83.135502
0.011513,3,83.254368
0.009032,1,83.291212
0.037869,3,83.381869
-0.004662,2,83.441232
0.028084,6,83.61139
0.038767,2,83.679726
0.120931,3,83.759489
-0.100992,4,83.883166
0.041167,4,83.994865
-0.010095,1,84.02634
0.001876,6,84.188492
-0.099296,3,84.28336
0.12136,2,84.343639
0.030891,3,84.432466
0.027222,1,84.462509
0.022857,2,84.516075
-0.004991,6,84.686186
0.132,2,84.733488
-0.066858,2,84.794536
0.012168,2,84.856065
0.039701,2,84.910018
0.022804,5,85.054825
0.032276,2,85.103615
0.058702,1,85.147416
0.014445,6,85.299391
-0.046933,1,85.333908
0.067576,2,85.393925
0.010455,1,85.437743
0.040311,6,85.601186
-0.001633,2,85.656752
-0.058765,2,85.716611
-0.04036,3,85.806562
0.026472,3,85.896027
-0.030155,7,86.090162
0.01007,2,86.146246
0.001761,1,86.185123
0.014515,5,86.308218
-0.011275,3,86.400549
0.022573,3,86.494734
-0.087931,2,86.543469
0.026688,5,86.670778
0.087368,2,86.728585
-0.018155,4,86.836943
-0.08845,3,86.925648
0.03833,5,87.067025
0.046058,5,87.195843
-0.018937,1,87.22572
0.010074,2,87.279744
0.00689,1,87.309746
0.036387,2,87.375398
-0.029596,4,87.487989
0.050599,3,87.588476
0.024135,5,87.747699
-0.034209,1,87.782292
-0.003587,1,87.821696
0.041804,6,87.982578
0.000431,5,88.112235
-0.019642,3,88.205457
-0.009543,2,88.255358
0.014568,1,88.279574
-0.04592,2,88.329005
0.018846,2,88.396706
0.026123,3,88.476201
0.036757,4,88.58808
-0.002687,2,88.641527
0.004827,5,88.783408
0.018649,1,88.808908
-0.011867,7,89.000873
0.096512,2,89.054666
-0.012104,3,89.139584
-0.028594,5,89.308238
-0.013718,3,89.386512
0.075869,5,89.524289
-0.075638,1,89.566581
0.027305,3,89.649263
0.002824,1,89.687332
0.015963,1,89.717542
-0.020809,1,89.751459
-0.024433,4,89.851936
-0.023484,3,89.940163
0.006391,4,90.042519
0.080647,3,90.130613
0.114032,3,90.211289
0.007808,1,90.245612
0.018381,2,90.31436
0.037703,2,90.369628
0.051316,2,90.428811
0.042758,3,90.519831
-0.012089,2,90.579514
0.045241,4,90.671032
0.007903,5,90.794862
-0.000847,2,90.85494
0.001,2,90.923023
0.010819,2,90.97741
0.014035,4,91.083529
0.088421,3,91.18129
0.025392,3,91.277044
0.00596,4,91.38181
-0.007737,2,91.437037
-0.007557,5,91.583647
0.051415,3,91.74413
0.114258,5,91.908392
0.019146,2,91.973191
0.109633,4,92.101942
0.13954,3,92.192796
0.162669,3,92.298295
0.0072,3,92.389921
0.036139,3,92.473308
0.14958,3,92.563456
0.005175,4,92.680685
-0.003111,4,92.789032
0.00288,10,93.07113
-0.01062,3,93.16608
0.02856,5,93.292816
-0.033477,3,93.381586
0.019957,2,93.430599
0.032409,2,93.486173
0.015589,3,93.579232
0.023283,4,93.695156
-0.054615,5,93.822818
0.050505,2,93.886442
-0.027515,2,93.941835
-0.006769,2,94.011396
0.016164,5,94.151146
0.091207,2,94.201864
-0.010163,4,94.311189
0.022872,2,94.359424
0.021549,4,94.474663
0.003701,4,94.597715
0.009961,5,94.750983
0.077648,2,94.805171
-0.000499,3,94.884956
0.008248,1,94.913472
-0.001819,2,94.961529
0.013206,6,95.145803
0.020197,1,95.175778
0.011179,1,95.205405
0.035254,1,95.230983
-0.064868,1,95.259783
-0.057746,1,95.289829
0.037987,1,95.319976
0.006055,3,95.413872
-0.010833,3,95.509967
-0.060147,5,95.640775
0.035152,2,95.694864
0.0121,3,95.768615
0.092531,1,95.802408
0.121852,3,95.88255
