#{"t_start": 1632853271.6176956, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.015184,4,3.019162
-0.00139,4,3.306195
-0.052534,3,3.519866
0.122455,4,3.822301
-0.02648,4,4.14301
0.045058,2,4.280511
-0.013712,3,4.522788
0.048988,3,4.766365
0.008062,4,5.083934
0.022538,1,5.162357
-0.025192,1,5.249029
-0.056779,1,5.333938
0.044119,4,5.661835
0.015119,3,5.911381
0.029011,1,5.9815
-0.052757,7,6.513052
0.016022,3,6.733868
-0.068794,6,7.188249
0.007864,2,7.357308
0.082819,1,7.439843
0.033573,1,7.508396
0.001679,1,7.584743
-0.063915,3,7.829113
-0.060732,2,8.068374
-0.032008,4,8.373225
0.001935,4,8.702183
-0.105336,2,8.863995
0.064677,2,9.029706
0.034231,2,9.218283
0.056205,4,9.530017
0.109036,4,9.848149
-0.082227,4,10.177922
-0.018618,4,10.476555
0.086946,4,10.808522
-0.013065,6,11.33792
-0.020251,4,11.652729
-0.054509,3,11.88572
-0.017358,3,12.115194
-0.00057,3,12.371468
0.001649,3,12.633912
-0.004536,2,12.787472
0.027683,3,13.042564
0.027446,4,13.353435
0.040678,2,13.51335
-0.036585,1,13.592375
0.019236,4,13.886845
0.014525,3,14.105379
0.017186,4,14.419711
-0.009005,2,14.562249
0.016592,6,15.06842
-0.036404,4,15.422915
-0.004553,4,15.783532
0.078425,2,15.930451
0.003507,1,16.019937
-0.046424,2,16.191126
-0.069306,4,16.485421
-0.067155,4,16.814577
-0.121988,3,17.035748
0.014521,6,17.504329
-0.043115,3,17.73317
0.003175,3,17.966841
0.014543,3,18.215646
0.015819,6,18.858402
-0.019239,5,19.263774
-0.037136,2,19.431679
-0.068885,3,19.758096
-0.008399,5,20.199516
-0.043008,4,20.516926
-0.016542,2,20.68624
0.001339,4,20.989546
-0.006232,3,21.212909
-0.002238,2,21.372407
-0.071693,3,21.637717
0.051651,1,21.724048
-0.038478,2,21.889702
0.043073,3,22.242153
0.072057,4,22.589867
-0.006014,2,22.754633
-0.067607,2,22.919101
0.017525,1,23.009098
0.000325,1,23.084498
-0.000111,2,23.240271
0.006749,3,23.483348
0.039932,1,23.569876
0.056636,2,23.733767
-0.045129,4,24.112938
-0.007752,1,24.182893
0.005819,4,24.50707
-0.03007,1,24.567431
0.024573,1,24.642178
0.004113,1,24.724267
-0.049342,3,24.988929
0.037408,3,25.324826
-0.015,2,25.496904
0.022473,2,25.658588
0.01276,2,25.823938
-0.057217,2,25.979672
-0.029375,1,26.065079
-0.122257,2,26.239342
0.041009,4,26.60053
0.171111,3,26.84194
0.009477,2,27.017428
-0.052854,4,27.386929
-0.051517,3,27.667744
-0.062953,3,27.962954
0.013936,4,28.28173
-0.05758,1,28.368628
-0.04912,1,28.446712
-0.052062,3,28.681802
0.000416,5,29.063212
-0.010261,1,29.156028
0.104854,2,29.317842
0.031341,2,29.461144
0.185712,1,29.53937
-0.032669,8,30.179889
-0.00293,6,30.642482
-0.031886,3,30.909878
0.014932,5,31.295248
