#{"t_start": 1632852963.198151, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.00733,6,3.005556
-0.14045,2,3.1129
-0.013953,1,3.200451
-0.006617,2,3.324563
-0.002194,4,3.588327
-0.04602,5,3.895185
-0.04917,2,4.012852
0.025085,2,4.144316
-0.00783,2,4.26915
-0.061183,2,4.406186
0.014066,4,4.676106
-0.020231,1,4.73355
-0.145622,5,5.060156
-0.008991,4,5.329651
-0.082655,1,5.390243
-0.026637,1,5.463139
-0.089802,3,5.654312
-0.027194,1,5.715585
0.023958,1,5.787505
0.074285,5,6.106054
0.051166,3,6.299746
0.005343,2,6.436519
0.008067,5,6.752545
0.017601,3,6.950005
0.013988,5,7.273029
0.017502,8,7.784467
0.051385,2,7.926248
-0.010073,1,8.005497
-0.097672,3,8.2178
0.023351,5,8.552126
0.001893,5,8.876066
-5.7e-05,7,9.367329
-0.003602,8,9.861904
0.001112,3,10.058019
-0.010459,5,10.390222
0.002643,4,10.659756
0.114582,4,10.922514
-0.086223,6,11.326975
-0.042095,3,11.522274
-0.033313,4,11.764507
-0.032964,7,12.215667
-0.180508,4,12.474119
-0.022524,1,12.541421
-0.041199,2,12.676152
0.060161,3,12.861007
0.07098,1,12.924933
-0.085634,2,13.070719
-0.021281,10,13.684087
0.070253,2,13.797561
-0.022805,5,14.116346
0.003599,5,14.454051
0.006217,2,14.587201
0.023389,5,14.908801
0.158255,3,15.120595
-0.040212,5,15.450516
0.016823,3,15.669325
-0.003331,5,16.004497
-0.053838,3,16.218332
-0.051342,2,16.346959
0.019099,3,16.558804
0.022114,4,16.818764
0.007001,2,16.957064
0.074729,2,17.105765
0.001086,3,17.309376
0.042796,4,17.569453
-0.044568,4,17.834599
-0.0496,6,18.204668
0.033239,3,18.403344
-0.029556,7,18.86412
0.020521,5,19.179556
0.029804,6,19.581084
0.012986,3,19.759043
0.046505,2,19.903216
-0.012829,9,20.486472
0.006468,4,20.730624
-0.03412,3,20.934184
0.048605,8,21.440442
-0.0178,3,21.637313
-0.022403,2,21.769819
0.005377,1,21.838989
-0.028282,3,22.022417
-0.020385,2,22.170036
-0.021007,6,22.547926
-0.011751,2,22.691619
0.044004,3,22.884177
-0.019361,2,23.008258
-0.066451,2,23.130877
-0.025026,4,23.39407
-0.000384,2,23.516152
0.003989,4,23.793106
0.025726,2,23.926639
0.044388,8,24.439069
-0.006433,1,24.496726
-0.039292,4,24.774092
-0.023839,6,25.162553
-0.096388,1,25.233507
-0.030117,1,25.307217
-0.052565,5,25.658893
-0.00259,7,26.118983
-0.002641,4,26.361188
-0.31644,1,26.462152
-0.164247,2,26.594599
0.015712,2,26.734657
0.001936,2,26.888488
0.031669,4,27.13676
-0.311103,2,27.287066
-0.046257,4,27.523018
-0.011173,2,27.643748
-0.073685,4,27.909935
0.134357,2,28.047731
-0.029383,3,28.245307
-0.04833,4,28.492062
0.015102,1,28.559599
-0.047844,3,28.770818
-0.095643,2,28.906121
-0.012083,4,29.168273
-0.01196,4,29.428383
-0.04816,3,29.641625
-0.006335,2,29.780933
-0.009197,4,30.040107
0.036657,3,30.219375
0.011612,4,30.474632
-0.018109,1,30.545281
0.007256,3,30.734768
-0.01597,5,31.067208
-0.140941,2,31.193682
0.031901,1,31.263737
-0.04269,4,31.531874
-0.045962,3,31.719984
-0.012957,5,32.035936
0.079146,4,32.296534
-0.025565,2,32.428446
-0.020052,2,32.569776
-0.01681,3,32.751741
0.008271,2,32.883297
-0.013394,4,33.138186
0.043348,5,33.4776
0.102531,5,33.82209
0.10536,3,34.035565
0.024502,2,34.181089
0.040723,4,34.441379
-0.012866,1,34.520533
0.024453,4,34.76347
0.072584,6,35.137926
-0.046505,1,35.224942
-0.066959,6,35.62905
-0.00189,1,35.704064
-0.006795,2,35.83155
0.068992,4,36.110486
0.020263,3,36.298704
0.037181,1,36.353227
-0.020202,5,36.679055
-0.101285,1,36.761737
-0.030873,3,36.953966
0.044362,6,37.364919
0.018153,3,37.557998
0.002124,3,37.781403
0.006161,1,37.852764
-0.050921,2,37.986035
-0.037202,4,38.297966
-0.01097,3,38.505054
0.039853,4,38.777284
-0.092696,3,38.993847
0.065661,5,39.321925
-0.018509,1,39.391331
0.013959,2,39.527396
0.046938,4,39.771127
-0.009895,3,39.99474
0.020837,2,40.123296
0.037285,5,40.458762
-0.037442,4,40.718383
0.013524,6,41.131068
0.036962,2,41.262999
0.098068,3,41.455639
-0.073885,8,41.940044
-0.009617,4,42.208319
0.040789,4,42.472671
0.020337,7,42.896649
0.018377,2,43.032733
-0.086581,1,43.092747
0.004113,1,43.16467
-0.014865,4,43.413939
0.012183,8,43.951377
0.072144,6,44.298115
0.014792,6,44.698158
0.001069,1,44.772955
-0.006835,2,44.895409
-0.023849,6,45.279756
-0.057152,5,45.615796
-0.098392,2,45.734413
0.025372,2,45.876687
-0.023351,1,45.950184
-0.16748,3,46.137009
0.016735,3,46.329227
-0.12577,2,46.453007
0.006672,6,46.812829
0.000537,2,46.94955
-0.091328,4,47.203496
-0.021809,2,47.329286
0.204147,3,47.534088
-0.071834,4,47.775058
-0.027823,5,48.102291
0.050635,4,48.371726
-0.019064,1,48.439244
-0.032756,1,48.521498
-0.013918,2,48.671443
-0.008524,5,48.971152
-0.011335,2,49.112353
-0.086998,3,49.308027
-0.008151,6,49.711643
0.018792,5,50.033552
-0.014684,4,50.307598
-0.025138,5,50.62316
0.001859,2,50.734104
-0.031645,9,51.349944
-0.022198,4,51.592794
-0.019853,3,51.778044
0.053237,3,51.962163
-0.040142,1,52.044294
-0.053422,2,52.165892
0.002538,3,52.353629
0.093793,2,52.481702
-0.095025,4,52.738499
0.016206,2,52.865923
-0.013189,1,52.93851
0.043911,2,53.076014
-0.019874,2,53.192318
-0.079405,2,53.326965
-0.132456,2,53.441269
-0.025585,5,53.764805
-0.109559,1,53.83339
0.019025,5,54.154336
0.058298,4,54.423308
0.006461,6,54.828096
-0.019101,6,55.220166
-0.046119,4,55.485956
-0.158968,1,55.545544
-0.082883,2,55.665626
-0.043197,1,55.742188
0.144208,3,55.93489
-0.039091,3,56.13537
-0.03529,3,56.33091
-0.020705,5,56.652687
0.003927,1,56.724915
-0.003645,1,56.784304
0.001642,2,56.898545
-0.131521,2,57.044622
0.016453,3,57.226201
0.00451,3,57.411913
-0.018529,2,57.539
-0.004123,3,57.742121
0.029375,3,57.942267
-0.099019,2,58.059905
0.009321,2,58.197008
0.041166,1,58.269142
-0.001897,2,58.407492
-0.117135,1,58.479917
0.022644,3,58.680245
-0.020319,3,58.880123
-0.019376,2,59.005865
0.003666,3,59.211728
-0.044618,2,59.352817
-0.146847,3,59.556916
-0.001263,7,59.984611
-0.091893,4,60.242172
-0.007464,3,60.441216
0.060055,5,60.748407
-0.036244,1,60.821759
0.021798,7,61.253858
-0.001529,3,61.469806
-0.035264,9,62.0397
-0.005701,4,62.290305
0.041076,4,62.554191
-0.095431,3,62.746614
-0.000744,3,62.93759
0.058609,3,63.131416
0.058417,4,63.391176
-0.043833,2,63.513956
0.020819,4,63.770969
0.050026,3,63.963167
0.03468,1,64.02687
-0.017162,1,64.099031
-0.040862,3,64.314106
0.012779,5,64.611357
-0.022926,2,64.749707
-0.080052,3,64.924246
-0.016175,1,64.982993
-0.133828,3,65.197987
-0.033382,2,65.331672
-0.005309,4,65.588193
-0.004455,4,65.84358
-0.085732,1,65.91613
0.017773,2,66.055889
-0.022099,4,66.305453
0.006672,3,66.504126
-0.005038,4,66.765333
1.2e-05,5,67.096692
-0.021127,4,67.342853
-0.055037,2,67.454303
-0.004014,2,67.577845
0.01439,4,67.822798
-0.002498,3,68.017941
-0.091171,3,68.209148
0.015379,8,68.712137
-0.030262,3,68.903733
-0.025209,4,69.158833
0.041957,4,69.410437
-0.029946,3,69.607522
0.026395,4,69.850829
-0.051938,9,70.42111
-0.009716,6,70.820961
0.050604,1,70.887431
0.006261,4,71.121141
-0.010037,6,71.519842
-0.082132,3,71.728669
-0.05938,3,71.90657
-0.026338,6,72.288111
0.011239,4,72.558914
-0.017428,4,72.820704
-0.21101,3,73.002337
0.138825,3,73.203838
-0.02704,2,73.311363
-0.008382,2,73.452687
0.015002,1,73.525735
0.085526,4,73.765133
0.035514,4,74.008471
-0.098769,5,74.344404
-0.098523,1,74.415844
0.004338,8,74.930747
0.018296,4,75.18577
0.031296,4,75.415262
-0.009201,3,75.595097
-0.046642,3,75.797507
0.01856,3,75.987008
-0.103318,5,76.307821
-0.082782,2,76.429866
-0.051884,4,76.713584
-0.013987,5,77.026203
-0.000171,3,77.21984
-0.019281,4,77.449744
-0.001154,4,77.705206
0.025967,4,77.951115
0.003012,3,78.144463
0.129362,3,78.360067
-0.087953,2,78.4913
0.023579,4,78.740266
0.003675,4,79.000283
0.042335,3,79.199363
0.012887,3,79.376375
0.008812,4,79.636849
0.010461,4,79.937771
0.027565,3,80.132098
-0.044929,4,80.386576
-0.134934,2,80.517481
0.002134,10,81.149139
0.01303,3,81.355062
-0.041465,2,81.503286
0.000208,4,81.770562
0.046135,4,82.034277
-0.012745,5,82.356784
-0.054971,4,82.617384
-0.006286,2,82.762611
-0.019287,1,82.82655
-0.04745,3,83.032649
-0.076927,3,83.233592
-0.000164,1,83.327122
-0.013808,3,83.51837
-0.064615,3,83.70765
-0.115256,3,83.937499
-0.051552,5,84.264086
-0.035461,2,84.389307
0.025294,4,84.650158
-0.017549,3,84.836647
-0.010648,4,85.106033
0.015904,1,85.17445
0.076818,2,85.314889
0.127862,1,85.378444
0.058668,3,85.575415
-0.007346,5,85.89215
-0.005959,1,85.95506
-0.020763,1,86.01381
0.02333,3,86.219652
-0.036135,2,86.352573
0.000869,2,86.477576
0.018156,2,86.605283
0.025283,3,86.813728
-0.053109,3,87.005842
0.033369,2,87.122609
-0.012378,2,87.272263
