#{"t_start": 1632853816.398052, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.018819,3,2.700196
0.015265,6,2.80902
-0.011916,2,2.855972
-0.017963,3,2.91224
0.002318,1,2.934489
-0.024063,4,3.015551
0.068593,1,3.041521
-0.004056,3,3.107916
0.093784,1,3.130445
-0.03072,3,3.189123
0.000126,4,3.273453
0.016316,4,3.349855
0.008395,5,3.442197
-0.002078,1,3.460053
0.071789,2,3.500138
0.024478,2,3.547953
-0.018387,2,3.597119
-0.008808,2,3.640945
0.044456,3,3.703157
-0.018787,3,3.764512
0.020907,1,3.78257
-0.088949,3,3.84985
-0.116721,3,3.910076
0.165378,1,3.930483
-0.064102,2,3.975173
-0.005667,5,4.071771
-0.096326,4,4.139704
-0.025266,6,4.255836
0.007902,2,4.297678
0.008284,6,4.416975
-0.009952,2,4.460138
-0.007211,3,4.523056
-0.02626,3,4.576068
0.007892,3,4.642886
0.009257,2,4.690393
0.031024,3,4.742426
0.027294,1,4.760742
-0.018241,2,4.801239
-0.071571,4,4.885826
-0.01317,2,4.937929
-0.02246,4,5.013151
-0.036016,3,5.081328
0.12342,2,5.120799
-0.004559,2,5.163163
-0.04697,3,5.224939
-0.030464,3,5.281703
-0.039649,1,5.302808
-0.035904,1,5.325097
-0.059757,3,5.37807
0.012031,1,5.404067
0.007764,2,5.447367
0.028393,5,5.536134
-0.020493,4,5.61975
-0.074759,4,5.699841
0.038782,1,5.717499
0.089798,5,5.803544
0.036674,2,5.843268
-0.118228,4,5.926218
0.02707,2,5.9663
-0.028097,4,6.04338
-0.145416,7,6.173715
-0.013555,5,6.264703
0.011926,4,6.347691
-0.086147,5,6.439195
-0.012193,2,6.473727
0.160723,2,6.517786
-0.024518,2,6.561043
-0.002872,2,6.597118
-0.001795,1,6.619467
-0.008598,4,6.707
-0.112299,2,6.751339
0.02993,6,6.861556
0.039714,2,6.900584
0.007464,4,6.981804
-0.100545,4,7.06761
0.030748,1,7.094499
-0.003247,3,7.161271
0.012779,2,7.203887
-0.12787,2,7.247256
0.063685,4,7.308799
-0.024587,2,7.355336
0.028757,7,7.483082
0.030588,3,7.547152
-0.052685,2,7.590656
-0.023014,5,7.683765
-0.010488,2,7.714732
0.067133,3,7.765511
-0.084653,2,7.805516
-0.050443,3,7.868499
-0.001394,2,7.912186
0.088503,1,7.934181
-0.035262,3,7.987721
0.043069,4,8.06689
-0.007914,4,8.150847
-0.02496,2,8.188133
0.033297,4,8.267539
-0.033572,4,8.337268
-0.009796,2,8.377465
-0.000723,2,8.42011
-0.006491,4,8.504156
-0.047605,3,8.561996
-0.03554,3,8.622404
0.002371,5,8.726225
0.006999,3,8.79255
-0.005744,1,8.810925
-0.00777,4,8.881774
-0.037697,8,9.034178
0.075753,4,9.117898
0.034169,3,9.17512
0.005559,2,9.217867
-0.016942,2,9.253587
0.053115,2,9.296256
-0.008296,7,9.439736
-0.042768,2,9.476398
-0.022326,1,9.502992
0.001568,2,9.552857
-0.045818,1,9.575739
0.038426,3,9.631397
-0.007159,1,9.661104
-0.051415,5,9.764122
-0.070047,2,9.799725
0.023345,1,9.824687
-0.017785,3,9.882385
-0.051753,4,9.950892
-0.053577,3,10.00088
-0.023013,3,10.061406
-0.002254,2,10.101208
-0.01536,3,10.162067
0.043451,2,10.208731
-0.109551,2,10.24639
0.020962,7,10.372592
0.040202,4,10.46075
-0.007951,5,10.55322
-0.000824,4,10.637364
-0.066011,3,10.699915
-0.069018,5,10.796869
0.035038,4,10.867241
-0.007058,5,10.963871
0.006524,1,10.981376
-0.016379,2,11.024508
-0.020784,2,11.065287
-0.017763,1,11.091841
-0.00046,2,11.13138
-0.064528,2,11.180767
-0.045139,4,11.261204
0.003774,6,11.376309
-0.103474,1,11.394318
0.025334,1,11.419882
-0.040132,6,11.536997
0.042504,3,11.594415
0.008501,9,11.763113
0.065064,3,11.815796
-0.043511,3,11.884194
0.044965,1,11.914945
-0.010021,1,11.940495
-0.013955,6,12.05514
-0.02153,1,12.072019
-0.031779,2,12.106252
-0.047427,6,12.213923
0.015697,1,12.243469
0.092367,3,12.299191
0.012642,4,12.377398
-0.005311,3,12.437973
-0.001546,3,12.49627
-0.011456,1,12.518384
-0.08197,1,12.541839
0.050344,3,12.608014
-0.009823,4,12.687356
-0.075614,4,12.761532
0.014118,2,12.802125
-0.012564,2,12.845924
0.016003,3,12.91086
0.03502,4,12.983001
-0.054627,2,13.022885
-0.006919,2,13.062219
-0.025545,3,13.123255
0.012825,2,13.167148
0.001356,4,13.245205
0.038666,6,13.370906
0.052589,1,13.387547
0.019555,2,13.421773
-0.014759,4,13.501633
0.014397,1,13.518987
0.061092,3,13.580747
-0.015906,3,13.641922
-0.04882,3,13.702699
0.05437,1,13.720712
0.039758,3,13.778237
-0.027065,3,13.831019
-0.001725,1,13.856256
-0.037257,2,13.895611
-0.008774,3,13.947849
-0.042739,1,13.970323
-0.003484,6,14.08493
0.007426,1,14.107046
-0.045498,2,14.142743
0.062666,9,14.317891
0.026853,1,14.335304
0.019388,2,14.374761
0.044449,3,14.435877
-0.019589,1,14.461455
0.000669,1,14.482903
-0.019331,2,14.528841
-0.039957,1,14.550146
0.00625,1,14.576151
-0.036728,2,14.612641
-0.019568,2,14.652697
-0.078196,1,14.67938
-0.024677,1,14.701151
-0.037697,2,14.741317
-0.03795,2,14.785175
0.06281,3,14.842546
0.023755,4,14.919648
0.027169,3,14.981259
-0.047502,1,15.002928
-0.004565,2,15.047741
0.190045,2,15.083463
-0.020528,2,15.12293
-0.012972,3,15.180243
-0.009016,5,15.263759
0.045983,3,15.328255
0.017519,3,15.386622
0.008039,3,15.443391
-0.002126,3,15.505124
-0.000185,4,15.575605
0.025905,5,15.679872
0.124598,5,15.782737
0.049687,1,15.804567
-0.106791,5,15.908386
-0.005565,1,15.926925
-0.030412,2,15.962867
-0.008468,3,16.018246
0.004054,2,16.060366
-0.051509,3,16.119975
0.023967,2,16.160912
-0.021028,3,16.216247
-0.012631,3,16.28373
-0.022393,5,16.373069
0.006921,6,16.495462
-0.031088,2,16.535286
0.016128,3,16.589969
0.016828,1,16.615823
-0.015701,1,16.638863
0.053004,2,16.682458
-0.105833,10,16.870766
0.014598,2,16.917933
-0.057735,3,16.986468
-0.018194,2,17.024146
-0.024835,5,17.125049
-0.000218,5,17.224659
0.019788,3,17.281808
0.016278,4,17.357097
-0.002791,1,17.383624
0.021777,2,17.421995
-0.020082,1,17.438614
0.007702,1,17.467904
-0.03713,3,17.525693
0.006414,3,17.57877
0.00162,3,17.643742
-0.093326,2,17.690737
0.011748,1,17.707526
0.004706,2,17.746825
-0.005087,3,17.815415
0.029311,4,17.893728
-0.023907,1,17.920288
0.019144,2,17.957143
-0.011499,2,18.004125
-0.005636,2,18.048173
-0.00814,4,18.126627
-0.051321,5,18.225963
-0.032266,3,18.290755
0.022966,1,18.317693
-0.06879,2,18.355964
-0.030352,3,18.413971
-0.029945,3,18.467655
0.006458,3,18.524659
-0.006005,2,18.568899
-0.024973,2,18.615318
-0.027892,3,18.67942
-0.046645,1,18.701938
-0.230875,4,18.783059
-0.113288,1,18.804749
-0.037759,2,18.835731
0.005807,5,18.926951
-0.010026,5,19.024595
0.069066,2,19.068089
0.01072,5,19.162782
0.039272,3,19.224839
0.058908,1,19.241626
0.01701,2,19.280152
0.04236,4,19.368027
-0.122548,2,19.398485
-0.205593,4,19.481213
-0.005949,1,19.507111
0.007291,1,19.524533
0.03012,4,19.611361
-0.001035,2,19.654555
-0.013849,5,19.75742
-0.031279,2,19.792926
-0.070452,2,19.834105
-0.059744,1,19.856149
-0.047515,1,19.878977
-0.007638,2,19.927371
-0.040643,2,19.963606
-0.004493,4,20.035216
-0.044338,3,20.100621
-0.045687,3,20.157396
0.01281,2,20.196422
-0.006627,1,20.215459
-0.026503,4,20.294048
-0.110442,7,20.422378
-0.011963,2,20.469915
0.003996,4,20.53628
-0.027379,2,20.577605
0.012513,3,20.644068
-0.029843,2,20.686764
-0.036887,4,20.760341
-0.037468,2,20.804789
-0.036767,2,20.840977
0.008599,4,20.91826
0.027815,2,20.955135
-0.000908,5,21.055879
-0.020202,3,21.119066
-0.062413,7,21.253994
-0.024477,4,21.326811
0.024201,1,21.349029
-0.107976,3,21.406649
-0.018766,5,21.503492
-0.014875,2,21.538819
0.061941,4,21.611378
-0.001112,3,21.667904
0.007552,4,21.741598
0.024898,1,21.76358
-0.009243,1,21.793384
0.035727,3,21.848308
0.025665,1,21.86634
-0.045098,5,21.957626
0.053718,3,22.014235
-0.012662,3,22.079152
-0.174435,2,22.114111
0.035192,3,22.175908
0.038334,2,22.211397
-0.039721,1,22.236983
0.024744,3,22.302569
-0.092494,2,22.341642
-0.046353,3,22.394531
0.037052,1,22.420562
0.016907,6,22.535696
0.004741,1,22.563338
-0.007242,3,22.610763
0.013955,5,22.708833
0.027243,3,22.770086
-0.049462,3,22.826451
0.056082,1,22.847593
-0.084079,2,22.883941
0.024315,2,22.924129
-0.023634,4,22.999325
-0.00655,1,23.025163
-0.09409,2,23.064798
0.054263,2,23.103542
-0.023245,5,23.195803
-0.013704,2,23.245351
0.033474,3,23.307832
-0.030638,4,23.384103
-0.003679,3,23.444319
0.021276,4,23.54038
-0.021705,2,23.578444
0.02946,4,23.662713
-0.14449,1,23.680379
-0.111456,1,23.698844
0.031583,2,23.737362
-0.075328,2,23.783093
-0.045767,2,23.818795
0.010103,5,23.920438
-0.009948,1,23.937463
0.044942,3,23.997009
0.019905,4,24.080633
-0.233235,1,24.097538
-0.057612,4,24.177545
-0.115031,4,24.25115
0.002655,1,24.272988
-0.009668,4,24.355637
0.104854,2,24.390962
-0.010381,5,24.486223
-0.089592,2,24.52573
0.00977,3,24.59328
0.006838,6,24.707025
-0.058548,2,24.744995
-0.007219,2,24.788208
0.01954,4,24.859052
0.008464,1,24.887537
-0.03129,6,25.00325
0.00702,6,25.114152
-0.060524,2,25.153911
0.016817,2,25.194146
-0.012716,2,25.225821
-0.102665,5,25.330492
-0.026489,1,25.357007
0.02696,1,25.374656
0.007887,4,25.461824
-0.018682,1,25.478573
0.047872,3,25.533919
-0.012043,2,25.573574
-0.007975,5,25.664579
-0.005814,4,25.740204
0.022362,2,25.783432
-0.064948,2,25.824456
-0.095196,3,25.87777
0.01226,1,25.904706
0.039553,1,25.926679
-0.015325,4,25.997708
0.030393,6,26.108697
-0.019432,3,26.166822
0.033214,5,26.268493
-0.009125,2,26.312925
0.076449,2,26.350913
-0.061035,3,26.423413
-0.024292,4,26.509598
0.008731,1,26.538856
-0.000591,2,26.578704
-0.007614,5,26.674198
0.021754,2,26.714497
0.011445,1,26.744302
0.064111,3,26.808843
-0.038465,2,26.853508
-0.02584,3,26.907186
0.010111,3,26.971365
-0.142944,2,27.014849
0.003706,6,27.117641
0.001237,2,27.151717
0.063366,2,27.190696
0.012379,2,27.230737
0.026619,6,27.353307
0.010187,5,27.448535
0.002692,3,27.509794
-0.025137,2,27.550116
-0.008667,2,27.591414
-0.003328,2,27.630173
-0.005283,1,27.65644
-0.024634,4,27.743922
-0.084135,2,27.784049
-0.035672,4,27.863808
0.006176,1,27.888942
0.005508,3,27.936585
-0.005059,5,28.034972
-0.037287,2,28.074702
-0.026528,1,28.09691
0.011679,3,28.159317
-0.006754,1,28.178882
-0.01022,1,28.200951
-0.039656,3,28.257378
-0.022081,1,28.283191
0.002095,3,28.33643
-0.109431,1,28.353707
-0.033914,2,28.393933
-0.010282,2,28.440501
0.037503,3,28.493699
-0.020464,2,28.548018
-0.018616,3,28.609642
-0.347122,2,28.645128
0.020456,4,28.726724
-0.030785,2,28.772783
-0.037937,3,28.836557
0.063179,7,28.961165
-0.011791,5,29.064536
-0.01343,4,29.13509
0.038294,1,29.164792
-0.144295,1,29.182832
0.00252,3,29.242112
0.004494,1,29.263254
-0.067872,3,29.32015
-0.012963,3,29.385998
0.002455,2,29.422192
0.100474,2,29.463297
0.007609,7,29.612482
0.007593,5,29.708231
0.019145,2,29.761753
0.032682,3,29.816159
-0.032067,2,29.852169
0.01371,2,29.899783
-0.046788,5,29.994796
-0.007006,5,30.091833
-0.011193,3,30.149473
-0.016976,2,30.184562
-0.039764,3,30.24593
-0.091967,2,30.281661
0.038386,3,30.346953
0.049961,1,30.378883
-0.048665,3,30.434533
-0.010985,4,30.513179
0.003966,6,30.633015
-0.006078,2,30.677343
-0.016237,3,30.734333
-0.047608,3,30.79199
-0.003318,3,30.852083
-0.049398,2,30.898802
-0.021023,2,30.933616
-0.098443,3,30.99028
-0.021534,2,31.035711
0.010147,7,31.162793
0.043181,2,31.210689
0.129271,3,31.266061
-0.0038,6,31.377084
-0.000364,3,31.429124
-0.007634,2,31.46405
-0.049545,3,31.623662
-0.032528,5,31.72869
0.013383,1,31.746328
-0.014536,4,31.832301
-0.020452,7,31.961986
0.02172,2,32.00525
0.017997,2,32.044298
-0.024616,1,32.069824
-0.022632,2,32.100132
0.03853,4,32.184932
-0.090222,3,32.23859
0.021227,2,32.28112
-0.094501,2,32.321778
0.046484,6,32.436037
-0.157182,2,32.474571
-0.020585,3,32.54445
-0.015427,5,32.642927
-0.085766,6,32.760464
-0.019344,2,32.806427
-0.019617,2,32.847139
-0.005493,6,32.975418
0.011597,3,33.03904
0.000741,3,33.096814
-0.019893,3,33.158955
-0.025806,3,33.221201
-0.027813,6,33.331196
-0.022478,1,33.361213
0.055202,2,33.395741
-0.008089,2,33.444695
-0.04063,2,33.478774
-0.041034,1,33.500866
0.010826,2,33.54881
0.040658,3,33.617773
0.033061,1,33.648164
-0.002278,7,33.773655
-0.028247,5,33.860237
0.078674,2,33.90391
0.0458,2,33.946987
-0.010592,2,33.987506
-0.034178,1,34.017572
-0.008156,5,34.121102
0.043051,4,34.197716
0.009255,2,34.237434
-0.016253,1,34.260009
-0.002089,2,34.300792
0.01262,4,34.389601
-0.034503,2,34.430297
-0.000768,3,34.497759
-0.05875,2,34.538624
-0.021664,1,34.563671
0.002073,2,34.605825
0.006367,2,34.652604
0.005421,3,34.716809
-0.013184,2,34.760743
-0.017744,4,34.838118
-0.023001,2,34.877888
0.008321,1,34.910936
0.022778,5,35.00091
-0.074574,1,35.026648
-0.000594,7,35.165152
-0.007188,4,35.233068
-0.022216,3,35.287173
0.032221,6,35.407841
0.011206,6,35.505198
-0.039708,2,35.543958
-0.000329,5,35.648984
-0.01278,3,35.715986
-0.015762,5,35.816883
-0.006466,2,35.857162
-0.005606,4,35.935636
0.033341,5,36.033613
-0.046781,5,36.12597
-0.061511,3,36.182858
0.059023,7,36.316102
0.089236,3,36.382434
0.018236,1,36.403792
0.032028,5,36.496781
0.015853,3,36.552043
-0.045103,3,36.604851
0.009103,2,36.646621
0.019081,6,36.755172
-0.047247,2,36.803271
0.035794,2,36.841968
-0.076741,2,36.880517
-0.013151,4,36.958462
-0.008918,3,37.016582
0.037081,5,37.114588
0.043696,5,37.217283
0.038557,2,37.261122
-0.014574,3,37.326399
0.019491,2,37.370336
0.038309,1,37.395551
-0.060869,1,37.413656
0.0892,3,37.480961
0.010835,3,37.548506
-0.00082,4,37.63036
0.017634,3,37.688157
0.012517,7,37.818817
-0.045139,3,37.880004
-0.026338,2,37.927044
-0.077805,2,37.975825
0.017791,6,38.079822
-0.047318,6,38.215193
-0.017482,2,38.251345
0.003625,2,38.299464
0.001376,1,38.316369
-0.0463,6,38.43385
-0.015588,5,38.544554
-0.042944,1,38.570052
-0.043006,1,38.599111
0.026922,4,38.671384
-0.001184,7,38.81776
-0.00157,3,38.864207
0.002354,1,38.88609
-0.000964,2,38.925806
-0.062561,4,38.998625
-0.015605,2,39.033315
0.087326,3,39.091782
0.020552,4,39.167093
-0.071214,2,39.209984
0.007224,3,39.271589
-0.004766,4,39.353355
-0.053198,2,39.398302
0.091758,1,39.420428
-0.003683,5,39.52199
-0.043467,3,39.582045
-3e-06,2,39.620829
0.152342,3,39.681651
-0.002775,4,39.756586
0.048797,4,39.824398
-0.036689,6,39.945147
0.001774,1,39.967303
0.11299,2,40.010674
0.027985,5,40.101128
-0.078473,3,40.163124
-0.000363,2,40.198372
0.024188,1,40.224174
0.079331,2,40.261124
0.02666,2,40.308403
-0.004715,1,40.326526
-0.045605,3,40.388444
-0.007434,2,40.42517
0.029714,3,40.48934
-0.058039,2,40.532413
-0.00851,2,40.567763
0.014171,3,40.633314
0.066299,1,40.653806
-0.008923,2,40.699841
0.029105,3,40.75883
-0.012704,4,40.838166
0.024261,3,40.897399
-0.043664,2,40.93684
-0.015512,2,40.976505
-0.048474,8,41.134579
-0.058058,2,41.173708
0.013399,2,41.210309
-0.009704,4,41.280324
0.005345,1,41.308696
0.004489,3,41.366777
0.031732,3,41.427797
0.003402,4,41.508002
0.080819,3,41.562731
0.017685,2,41.606289
-0.104643,2,41.64594
0.021222,3,41.70724
0.142401,3,41.772223
-0.018843,2,41.812655
-0.050158,1,41.833949
-0.005667,3,41.892251
-0.001617,4,41.965289
0.087523,2,42.002766
-0.047326,3,42.067533
-0.077476,2,42.107993
-0.063852,2,42.151909
-0.043189,2,42.191585
0.056083,4,42.263463
0.027266,3,42.330256
0.025642,5,42.43131
-0.030468,5,42.535642
-7e-05,5,42.633285
0.074634,2,42.685419
-0.078971,4,42.754528
0.022089,4,42.835991
-0.000218,1,42.857747
-0.029644,3,42.922027
-0.013132,3,42.984828
-0.055343,2,43.036936
-0.087309,3,43.094574
-0.079398,1,43.112903
-0.011205,2,43.15515
0.039231,3,43.212743
0.012392,3,43.267343
-0.009964,2,43.317102
0.016205,4,43.39551
-0.015337,1,43.4176
-0.212292,3,43.476679
0.013357,2,43.516324
-0.053237,4,43.591305
0.120438,3,43.650496
-0.017251,1,43.675789
0.016317,2,43.713965
-0.035761,3,43.766618
0.002592,4,43.845048
-0.002397,3,43.898482
-0.077326,4,43.979844
-0.016175,1,44.006266
-0.001052,7,44.135473
-0.121144,3,44.189851
0.054038,3,44.248458
-0.072784,1,44.265308
-0.010003,2,44.309391
-0.021464,2,44.34393
0.04368,2,44.389083
-0.038497,5,44.486101
-0.053766,1,44.506845
-0.005356,1,44.528141
-0.053544,4,44.598121
-0.043431,3,44.665815
-0.061756,6,44.778568
-0.057192,3,44.831967
0.013484,2,44.871979
0.040157,4,44.93603
-0.051579,5,45.033045
-0.002503,1,45.055654
0.009284,2,45.099224
-0.105679,3,45.161643
0.000497,3,45.21937
0.024198,2,45.254078
0.009487,3,45.308873
-0.042149,2,45.352545
-0.000483,6,45.464357
-0.153495,4,45.545906
0.015616,3,45.598645
-0.047004,2,45.644722
0.015644,4,45.72028
-0.097311,3,45.777448
-0.006926,5,45.876329
-0.029581,5,45.975327
0.039834,2,46.017543
-0.100713,1,46.038532
0.019244,6,46.156772
0.021491,3,46.218722
-0.057148,2,46.257369
-0.047305,3,46.316611
0.000434,3,46.37486
0.035398,3,46.438677
-0.072567,5,46.52945
-0.04242,4,46.60483
-0.007925,4,46.684714
0.01146,2,46.719529
0.021749,4,46.797397
0.009359,2,46.847653
0.008039,6,46.956974
-0.009692,3,47.015843
0.039876,2,47.052125
0.028151,2,47.085613
0.00735,2,47.124823
-0.018019,3,47.179972
0.007974,4,47.249271
0.025105,2,47.285346
-0.011497,3,47.350399
0.057752,2,47.392991
-0.008181,2,47.434427
0.005541,4,47.509777
-0.014345,1,47.530702
0.066254,2,47.570192
0.032604,2,47.607366
-0.068999,1,47.6404
0.041811,1,47.6575
-0.024635,2,47.698501
-0.097315,6,47.798867
0.018336,3,47.855297
0.017773,2,47.893841
0.035617,3,47.948203
0.067516,3,48.022376
-0.131329,3,48.0734
-0.043584,6,48.192849
-0.00622,1,48.210054
0.091335,3,48.271891
0.019779,2,48.312732
0.01889,5,48.412534
-0.003018,3,48.483741
0.033683,1,48.504592
0.137213,4,48.594289
-0.070458,2,48.634789
-0.004973,5,48.733222
-0.009139,4,48.817618
-0.027817,7,48.952922
-0.026656,4,49.028553
-0.020787,3,49.085325
0.009464,5,49.18943
0.058503,2,49.229329
0.004145,2,49.263771
0.072792,2,49.298718
0.0208,4,49.373643
0.159758,3,49.434898
0.020621,6,49.556949
0.041423,3,49.609065
-0.005546,1,49.640486
-0.062186,2,49.684075
-0.019904,5,49.782295
0.010622,6,49.89373
-0.017945,3,49.953646
-0.008553,8,50.105248
-0.102794,5,50.207003
-0.024774,2,50.245313
-0.018582,1,50.266864
0.037483,2,50.308568
0.013652,2,50.344937
-0.017339,2,50.387292
-0.008212,1,50.404915
-0.170683,3,50.461967
-0.014448,3,50.522622
0.016281,1,50.557137
0.121433,2,50.589011
0.133961,2,50.626419
0.034941,6,50.751942
-0.041372,3,50.819595
-0.017762,1,50.849549
-0.002806,1,50.870409
0.04153,5,50.955248
-0.049869,3,51.016031
0.005403,1,51.045147
-0.029001,3,51.101253
0.003146,2,51.149325
0.019567,3,51.204606
-0.110398,1,51.225559
0.024435,4,51.301783
0.006144,3,51.354065
0.003237,1,51.372342
-0.020091,1,51.404082
-0.038457,5,51.492765
-0.035972,1,51.51362
-0.033977,2,51.561003
-0.064381,2,51.602727
-0.092143,2,51.641499
-0.068992,3,51.697322
0.052447,3,51.749949
0.028405,5,51.858225
-0.022946,5,51.951484
-0.047301,2,51.994061
0.03361,1,52.017826
-0.044345,2,52.048597
-0.011146,4,52.132464
0.003228,3,52.192004
0.026144,9,52.35824
0.066617,3,52.417766
0.00951,5,52.514737
-0.008705,3,52.596704
-0.026719,1,52.613516
0.006076,2,52.644018
-0.016083,3,52.701885
-0.115452,1,52.723239
-0.0195,1,52.744028
-0.062267,2,52.792079
-0.026092,2,52.836258
-0.018056,1,52.852956
0.002729,3,52.910392
-0.447455,2,52.949371
0.001029,1,52.974145
-0.067969,4,53.043918
-0.031788,3,53.093722
0.026871,1,53.119277
0.021452,4,53.193739
-0.013189,1,53.214492
-0.047009,1,53.239932
0.020886,3,53.292283
0.001389,1,53.321392
0.058609,3,53.380936
-0.065864,2,53.420721
-0.020782,2,53.460128
-0.118449,3,53.521889
-0.039568,3,53.574373
-0.001477,2,53.613595
0.001278,5,53.709606
-0.017082,3,53.764044
-0.0274,1,53.790496
0.117993,1,53.815524
0.077579,4,53.891178
0.054977,6,53.994587
-0.059332,2,54.03501
0.026526,2,54.080936
0.018066,3,54.137038
-0.019309,1,54.161167
-0.128004,3,54.221791
-0.032091,1,54.243234
0.032918,2,54.289466
0.003703,1,54.315474
-0.002046,5,54.409201
-0.040343,5,54.509239
0.024573,1,54.533512
0.058848,3,54.602135
-0.038287,3,54.664003
-0.092129,2,54.702693
0.01393,4,54.782029
-0.059222,4,54.853835
-0.190872,1,54.871237
0.063005,2,54.917948
0.001089,3,54.975502
-0.013706,5,55.07321
-0.078167,2,55.108833
0.003107,2,55.15705
0.054179,2,55.196087
0.100493,2,55.239116
-0.036542,1,55.255982
0.099422,2,55.298167
-0.051537,2,55.334407
-0.034548,3,55.392954
0.008296,3,55.453092
0.066838,2,55.496477
0.011678,3,55.556511
-0.019495,2,55.591083
0.006338,4,55.6681
0.001412,2,55.710956
-0.048188,3,55.764364
-0.041716,4,55.843334
0.002435,2,55.882756
-0.016555,1,55.908915
